,predicted_temp
882,19.666015625
883,20.55078125
884,20.392578125
885,21.9140625
886,21.26953125
887,19.681640625
888,18.17578125
889,17.302734375
890,20.068359375
891,19.2890625
892,20.4931640625
893,19.7802734375
894,20.7373046875
895,21.64453125
896,20.2021484375
897,19.9091796875
898,19.75244140625
899,19.05908203125
900,17.5361328125
901,19.9521484375
902,17.869140625
903,17.20068359375
904,20.2734375
905,19.81640625
906,18.4921875
907,20.212890625
908,20.265625
909,19.517578125
910,20.998046875
911,20.046875
912,20.94140625
913,19.9140625
914,18.294921875
915,19.3125
916,21.021484375
917,18.974609375
918,18.7890625
919,18.625
920,18.736328125
921,19.10595703125
922,19.03955078125
923,19.38427734375
924,19.501708984375
925,19.732421875
926,20.0283203125
927,19.0234375
928,20.087890625
929,20.041015625
930,20.47265625
931,17.109375
932,18.078125
933,15.109375
934,18.677734375
935,17.4609375
936,15.6376953125
937,19.35693359375
938,17.787109375
939,16.103515625
940,17.89453125
941,17.0361328125
942,17.46484375
943,17.1240234375
944,17.21771240234375
945,23.6201171875
946,42.681640625
947,30.6552734375
948,25.9228515625
949,160.099609375
950,153.552734375
951,302.572265625
952,332.626953125
953,417.955078125
954,382.880859375
955,423.26171875
956,352.69921875
957,571.765625
958,405.71875
959,313.9091796875
960,105.4130859375
961,411.744140625
962,248.2822265625
963,14.5711669921875
964,126.087890625
965,412.734375
966,180.3623046875
967,305.2021484375
968,223.70703125
969,50.8916015625
970,128.3125
971,122.4609375
972,213.5029296875
973,286.07421875
974,15.30322265625
975,19.9228515625
976,16.0709228515625
977,17.456787109375
978,109.11328125
979,40.9755859375
980,77.130859375
981,16.79296875
982,19.484375
983,18.84765625
984,18.1484375
985,13.21484375
